都道府県名,グルメ名,説明,画像URL
茨城県,水戸納豆,茨城のご当地グルメと言えば、外せないのが「納豆」。納豆の生産が盛んな水戸では、納豆パフェなどの変わり種もあり、多種多様な納豆メニューが楽しめます。,lib/images/icon31.jpeg
茨城県,常陸秋そば,茨城県の名物となっている「常陸秋そば」は、1978年に誕生した蕎麦ブランド。薫り高い豊潤な味わいは全国的にも高く評価されており、「玄そばの最高峰」と呼ばれています。,lib/images/icon32.jpeg
栃木県,宇都宮餃子,宇都宮餃子は、栃木県の代表的なご当地グルメといっても過言ではありません。その最大の特徴は、あんに使われる野菜の量が多いこと。特に白菜がふんだんに入っていて、さっぱりしているので何個でも食べられます。,lib/images/icon33.jpeg
栃木県,佐野ラーメン,「青竹打ち」という製法を用いて打たれた麺が使われている、あっさりした鶏ダシラーメンです。うどんのような食感が特徴で、一度食べるとそののどごしの良さにやみつきになってしまいます。,lib/images/icon34.jpeg
栃木県,宇都宮焼きそば,栃木県のB級グルメとして人気になった宇都宮焼きそば。ソースを自分好みの量だけ追加でき、具はキャベツやイカ、お肉のほかに、宇都宮焼きそばではハム・目玉焼きをのせるのが珍しいところ。,lib/images/icon35.jpeg
栃木県,いもフライ,じゃがいもに衣をつけてフライにしたもので、串カツのようにソースにしっかり浸して食べるのが一般的です。ソースとじゃがいもは意外な組み合わせかもしれませんが、実はコンビネーション抜群です。,lib/images/icon36.jpeg
群馬県,ひもかわうどん,幅広い麺が特徴の群馬県桐生市の名物ひもかわうどん。厚みは１ミリ程度と薄く、もちもちとした触感とつるんとしたのど越しも特徴のひとつです。,lib/images/icon37.jpeg
群馬県,焼きまんじゅう,基本的には、餡の入っていない蒸したまんじゅうを串に刺し、味噌だれを塗って両面をこんがりと焼いたものです。外側がカリッと焼き上がり、中はふんわりとした食感です。,lib/images/icon38.jpeg
群馬県,おっきりこみ,熱の通りやすい幅広の平打ち麺と一緒に季節の野菜や根菜を煮込んでいただく郷土料理です。,lib/images/icon39.jpeg
群馬県,水沢うどん,日本三大うどんのひとつでもあるのが、群馬の水沢うどんです。数百年の歴史を持ち、太くコシの強い、つるっとしたのどごしが特徴です。,lib/images/icon40.jpeg
埼玉県,豆腐らーめん,さいたま市岩槻区発祥のラーメン。醤油味のスープに、豆腐と挽肉の餡かけが麺のうえにのっており、麻婆ラーメンとは似て異なり、どちらかといえばさっぱりとした味です。,lib/images/icon41.jpeg
埼玉県,すったて,埼玉が誇るローカルフードで夏の定番メニューです。ゴマや大葉、ミョウガなどをすりつぶして味噌と混ぜ、だし汁で割ってうどんをつけながら食べる料理。「すりたて」が訛って「すったて」になったとされています。,lib/images/icon42.jpeg
埼玉県,くるみそば,秩父名物のひとつである「くるみそば」は、その名の通りくるみの実が入ったくるみだれに蕎麦を入れていただきます。まろやかなくるみの風味が味わえ、さらっと食べられるのが特徴です。,lib/images/icon43.jpeg
埼玉県,煮ぼうとう,およそ2.5cmの幅広の麺とたっぷりの野菜を一緒に煮込んだ深谷の郷土料理です。生麺から煮込んでいるため程よいとろみがついており、また醤油味なので誰でも食べやすいのも魅力です。,lib/images/icon44.jpeg
千葉県,なめろう,千葉県の房総半島に伝わる郷土料理です。皿をなめるほどおいしいということが名前の由来とされています。主に鯵（あじ）に味噌・ネギ・ショウガのみじん切りなどを混ぜ、粘りがでるまでたたいた料理です。,lib/images/icon45.jpeg
千葉県,勝浦タンタンメン,勝浦市のご当地ラーメン「勝浦タンタンメン」。一般的な担々麺はごま風味ですが、勝浦のはラー油、玉ねぎ、豚ひき肉を使っています。,lib/images/icon46.jpeg
千葉県,ホワイト餃子,ホワイト餃子の特徴は、なんといっても肉まんかと思うほどの厚い皮です。皮の外側はパリパリで、内側はもちもちジューシーな餡の旨味が口いっぱいに広がります。,lib/images/icon47.jpeg
千葉県,竹岡ラーメン,竹岡ラーメンは、チャーシューの煮汁である醤油ダレにお湯を加えるだけのシンプルな作り方でありながら、肉の旨味がしっかりきいたまろやかなスープが特徴のラーメンです。,lib/images/icon48.jpeg
東京都,江戸前寿司,江戸前寿司は、江戸前（東京湾）で漁れた魚介類を材料とした握りが中心の寿司。塩や酢で〆る、蒸す、煮る、タレを塗る、漬けるといったさまざまな工夫（仕事）がネタに施されているのが特徴です。,lib/images/icon49.jpeg
東京都,深川めし,あさりとネギなどの野菜を煮込んだ汁物をごはんにかけたもので、深川の漁師たちが仕事の合間に食べる賄いがルーツとされています。あさりの旨味と風味しみ込んだご飯はぜひ食べたい一品です。,lib/images/icon50.jpeg
東京都,もんじゃ焼き,もんじゃ焼きは、ゆるく水溶きした小麦粉を鉄板で調理して食べる東京発祥のグルメです。月島と浅草にもんじゃ焼店が集中しています。,lib/images/icon51.jpeg
東京都,どぜう鍋,江戸時代から庶民の味として愛されてきたどぜう鍋。鍋にギュウギュウに敷き詰められたどじょうに、大盛りに乗せられたネギなど、鍋料理というにはインパクトの強い見た目が特徴的です。,lib/images/icon52.jpeg
神奈川県,サンマーメン,サンマーメンとは、もやしなどの野菜と肉を炒めた餡かけが乗ったラーメンのこと。シャキシャキとした野菜と餡かけのとろみのコンビネーションが絶品です。,lib/images/icon53.jpeg
神奈川県,横浜家系ラーメン,特徴は濃厚な豚骨醤油のスープ。豚骨、鶏ガラ、野菜などのダシの旨味が溶け出した力強いスープと麺が絶妙に絡みます。,lib/images/icon54.jpeg
神奈川県,牛鍋,横浜港が開港し西洋の肉食文化が流入したことがきっかけの牛鍋。牛鍋は鉄鍋に割り下を入れて、そこへ肉や野菜を入れ煮て食します。すきやきのように「焼く」ことはしません。,lib/images/icon55.jpeg
神奈川県,しらす,相模湾に面した湘南海岸は、しらすの水揚量が全国屈指を誇る大産地。そんな土地柄だからこそ味わえる絶品食材が「生しらす丼」であり、こちら湘南海岸エリアの名物ご当地グルメとなっています。,lib/images/icon56.jpeg
新潟県,へぎそば,“フノリ”という海藻をつなぎに使っていることで、独特の弾力とツルツルとしたのど越しが特徴。木を剥いで作った「へぎ」という器に3～4人前が盛り付けられているのが定番です。,lib/images/icon57.jpeg
新潟県,イタリアン,新潟県のB級グルメと言えば、中華麺にトマトソースをかけたイタリアン。今ではホワイトソースなど、ソースのバリエーションも増えています。,lib/images/icon58.jpeg
新潟県,タレかつ丼,新潟県のカツ丼は甘い醤油だれにくぐらせてご飯に乗せたスタイル。新潟県のカツ丼はこれがスタンダードで、卵でとじません。,lib/images/icon59.jpeg
新潟県,のどぐろ,白身のトロと呼ばれる日本海の高級魚のどぐろ。新潟県の寿司屋や日本料理店では、お刺身やお寿司はもちろん、塩焼きなどでも親しまれている人気食材です。,lib/images/icon60.jpeg
富山県,富山ブラックラーメン,富山ブラックラーメンはその名の通り、スープが真っ黒のラーメンです。スープを一口飲むと、意外にも出汁のきいた醤油ベースの深い味わい、そして中太麺が程良く絡み合う逸品です,lib/images/icon61.jpeg
富山県,ホタルイカ,ホタルイカは、富山の春の風物詩。新鮮なホタルイカのお刺身やボイル、酢味噌あえ、唐揚げ、天ぷら、沖漬けなど、さまざまな料理が楽しめます。,lib/images/icon62.jpeg
富山県,ます寿司,木製のわっぱに笹を敷いて酢飯を詰め、その上に味つけをしたマスの切り身をすき間なく敷き詰めた、見た目も色鮮やかな郷土料理です。,lib/images/icon63.jpeg
富山県,氷見うどん,氷見うどんとは、現在では珍しい、機会を一切使用せず「手延べ製造」で製造される、富山県を代表するうどんです。手作業で製造されるうどんは、喉越しが良く、歯ごたえもちょうど良い代物です。,lib/images/icon64.jpeg
石川県,能登丼,旬の魚介やブランド肉など奥能登産の食材をふんだんに使ったご当地丼。「能登牛」のヒレステーキをのせた「能登牛ステーキ丼」、港からの直送魚介を使った「能登朝市丼」など、多彩な丼が味わえます。,lib/images/icon65.jpeg
石川県,金沢カレー,黒くてドロっとした濃厚なルーが特徴のカレーです。付け合わせにはキャベツ、ルーの上にはソースがかかったサクサクのカツ。他のカレーにはないちょっと変わった組み合わせが癖になります。,lib/images/icon66.jpeg
石川県,ハントンライス,金沢市発祥のご当地グルメ。オムライスの上に、白身魚のフライをのせてケチャップとタルタルソースをかけたもので、白身魚のフライだけではなく、エビフライやトンカツを乗せているお店もあります。,lib/images/icon67.jpeg
石川県,金沢おでん,おでん屋の数が多い地域である石川県。旨みが凝縮されたつゆには透明感があり、素材のおいしさを活かす上品な味わい。かに面やバイ貝、赤巻など、金沢おでんならではの種が多くあります。,lib/images/icon68.jpeg
福井県,越前がに,福井県屈指の冬の絶品グルメ。刺身・茹で・焼き・しゃぶしゃぶ・甲羅焼き・かに飯など様々な食べ方を楽しむことができ、解禁直後はあっさりとした味わい、旬の後半は脂肪分の多いこってりとした味わいが楽しめます。,lib/images/icon69.jpeg
福井県,越前そば,おろした辛味大根、ネギ、鰹節がたっぷりと乗っており、直接出汁をかけて食べるのが一般的。店によっては、つけ汁に大根おろしを入れて食べるスタイルもあります。麺はやや太めで黒っぽく、コシが強いのが特徴です,lib/images/icon70.jpeg
福井県,ソースカツ丼,福井を代表するグルメと言えるソースカツ丼。卵でとじたトンカツではなく、濃い目のソースにたっぷりと浸したトンカツを乗せるのが福井県の独自スタイルです。,lib/images/icon71.jpeg
福井県,ボルガライス,オムライスとトンカツを合体させた、他では見ることのでいないB級ご当地グルメです。福井県のレストランでは必ず見ることができ、地元民から愛され続けているメニューです。,lib/images/icon72.jpeg
山梨県,ほうとう,小麦粉から作った幅1センチほどの太い麺が特徴の料理で、味噌と一緒に煮込みます。カボチャやニンジンなど野菜たっぷりで、体に優しい料理。最近では鶏肉や油揚げなども使われていて、食べ応えも十分です。,lib/images/icon73.jpeg
山梨県,吉田うどん,富士吉田市を代表するソウルフード。特徴はコシの強い太麺で醤油と味噌を合わせて作ったダシとの相性も抜群です。トッピングは馬肉やキャベツを使うのが定番で、山梨でしか食べられない味です。,lib/images/icon74.jpeg
山梨県,甲府鳥もつ煮,甲府市内の蕎麦屋さんで考案され、今は山梨県を代表するB級グルメ。鳥の砂肝やハツやレバーなどを醤油だれで甘辛く照り煮したグルメで、濃厚な味が特徴。お酒のつまみや、ご飯に乗せて鳥もつ丼として食べるのもおすすめです。,lib/images/icon75.jpeg
山梨県,甲州ワインビーフ,山梨県の恵まれた自然の中で、ワインの搾り粕を飼料に加え育てられたブランド牛「甲州ワインビーフ」。通常の飼料で育つ牛よりも肉の酸化が進みにくく、柔らかい赤身と脂身とのバランスが取れた上品な味わいになります。,lib/images/icon76.jpeg
長野県,信州そば,長野は寒暖差が激しいことや澄んだ山水が美味しいことから、蕎麦の栽培には絶好の環境と言われています。至るところに名店があり、地域によって色や風味が異なり、様々な味わいを楽しめます。,lib/images/icon77.jpeg
長野県,おやき,長野県を代表する郷土料理で、小麦粉やそば粉で作ったモチモチの皮に、バリエーション豊富な具材を包んだ饅頭のことです。食事系だけでなく小豆やクルミ餡、りんごペーストといった甘いスイーツ系も用意されています。,lib/images/icon78.jpeg
長野県,信州サーモン,高い評価を得ている良質な養殖品種。「トロリとろける美味しさ」が特徴で、肉厚な身に風味豊かな旨味が凝縮されています。後味がさっぱりとしているので、いくらでも食べられてしまう美味しさです。,lib/images/icon79.jpeg
長野県,山賊焼き,鶏肉をニンニクが効いた醤油タレに漬け込み、片栗粉をつけてカラリと揚げたもの。松本市や塩尻市の名物料理です。モモ肉を1枚丸ごと漬けて揚げる豪快な料理で外はカリカリ、中はジューシーな味わいです。,lib/images/icon80.jpeg
岐阜県,飛騨牛,飛騨牛は全国の和牛の質を争う会でも日本一を取ったことのある、名実ともにトップクラスのお肉。綺麗にさしが入った見た目が特徴的で美しいです。お米との相性抜群な「飛騨牛にぎり」がおすすめ。,lib/images/icon81.jpeg
岐阜県,鶏ちゃん,南飛騨地方の郷土料理で鶏肉を使用した料理です。しょうゆや味噌ベースのタレに漬け込んだ鶏肉をキャベツなどの野菜と一緒に焼いて食べる、シンプルだけど癖になる一品です。,lib/images/icon82.jpeg
岐阜県,高山ラーメン,普通のラーメンと比べて量が少なめなのが特徴。鶏ガラを中心とした醤油ベースのスープに、麺は平打ちで細く縮れ麺で、スープがよくからむようになっています。,lib/images/icon83.jpeg
岐阜県,朴葉味噌,飛騨・高山地方の郷土料理で、自家製の味噌をベースに、ネギなどの薬味、椎茸などの山菜類をからめたものを朴の葉の上に載せて焼く料理です。香ばしい味噌の香りが口に広がり、思わずご飯が進む一品です。,lib/images/icon84.jpeg
静岡県,静岡おでん,静岡おでんはだし汁が真っ黒なのが特徴。提供される際にはだし汁が注がれず、魚粉や青のりが混ざった だし粉をふりかけて食べます。味は濃くなく普段食べているおでんよりも深みのある味わいです。,lib/images/icon85.jpeg
静岡県,富士宮焼きそば,富士宮焼きそばとは、富士宮市のご当地グルメです。もっちり麺としっかりした出汁、そしてあっさりしたソース味が特徴で、B級グルメとして全国的に有名になりました。,lib/images/icon86.jpeg
静岡県,浜松餃子,浜松市が発祥の浜松餃子は、円形に並べて焼き、中央にもやしを添えるのが大きな特徴です。キャベツをたっぷり使い、豚肉のコクをプラスした浜松餃子は、何個でも食べられそうな美味しさです。,lib/images/icon87.jpeg
静岡県,うなぎ,浜松はうなぎ養殖の発祥の地として知られており、鰻料理の名店が多く存在しています。関東風・関西風の調理法、どちらも楽しめる地域として有名であり、自分好みの味付けの鰻料理を探せるのも魅力です。,lib/images/icon88.jpeg
愛知県,手羽先,名古屋めしの代表格と言えば「手羽先」。特徴は「2度揚げ」にあり、外はパリっと香ばしく中はふっくらジューシーに仕上がります。濃い味付けで酒の席の定番メニューです。,lib/images/icon89.jpeg
愛知県,ひつまぶし,うなぎの蒲焼きをご飯の上に載せた料理。最初はそのまま、次にネギやわさび、きざみのりなど、一緒に出される薬味を乗せて、さらにその次はおだしやお茶をかけて食べるというのはひつまぶしの作法です。,lib/images/icon90.jpeg
愛知県,味噌カツ,名古屋名物として知られる味噌カツは、味噌で味わうトンカツ料理のことです。味噌はこってりとしたデミグラスソースのような食感で相性も抜群です。,lib/images/icon91.jpeg
愛知県,きしめん,400年以上も歴史のある愛知のソウルフード。厚さ1mm、幅7から8mmほどの平たいうどんで、「カレーきしめん」や餅を入れる「力きしめん」、「カルボナーラきしめん」など、アレンジのバリエーションも豊富です。,lib/images/icon92.jpeg
三重県,伊勢うどん,伊勢神宮が鎮座する、伊勢市周辺で古くから親しまれているうどん。大きな特徴は、うどんなのにコシがないこと。そのぶん、もっちりふんわりと柔らかい食感が魅力です。,lib/images/icon93.jpeg
三重県,てこね寿司,伊勢志摩地方の郷土料理として知られるご当地グルメ。カツオやマグロなど、赤身の魚を醤油ベースのタレに漬け込んで、少し甘みのある酢飯の上に乗せた、ちらし寿司のような料理です。,lib/images/icon94.jpeg
三重県,松阪牛,舌の上でとろけるお肉の代名詞、松阪牛。手間ひまかけて丹精に育てられ、行き届いた管理のおかげで味わい深い絶品です。焼肉やステーキ、すき焼きなど様々な料理として楽しむことができます。,lib/images/icon95.jpeg
三重県,伊勢海老,三重県の伊勢海老の漁獲量は日本一で、「三重県のさかな」にも指定されています。炭火などの直火で焼く火場焼や、伊勢えびのおいしさを堪能できる伊勢えび汁など、色々な料理が味わえます。,lib/images/icon96.jpeg
滋賀県,近江牛,日本三大和牛のひとつにも数えられる近江牛は、滋賀県が誇る全国区のブランド牛。均一な霜降りが入った柔らかな肉は、見た目にも美しく、とろけるような食感と甘みを楽しめます。,lib/images/icon97.jpeg
滋賀県,近江ちゃんぽん,滋賀彦根市発の近江ちゃんぽんは、かつお節や昆布の和風だしを使い、野菜を中心としたたっぷりの具が入っているのが特徴。お酢を加えて味変を楽しむのが本場の食べ方です。,lib/images/icon98.jpeg
滋賀県,ふなずし,滋賀を代表する郷土料理のふなずしは、塩漬けした魚と米を発酵させた「なれずし」の一種。独特の芳醇な香りと酸味がクセになります。,lib/images/icon99.jpeg
滋賀県,鴨鍋,冬の琵琶湖にシベリアから飛来し、越冬するマガモ。その新鮮な肉を豆腐や野菜などと一緒に煮込んだ郷土の鍋料理です。寒い冬に備えて脂を蓄えた旬の鴨肉は絶品です。,lib/images/icon100.jpeg
京都府,おばんざい,おばんざいとは、京都の家庭で昔から日常的に食べられているおかず全般を指す言葉です。季節の野菜や乾物を使った煮物、おひたしなどが定番です。,lib/images/icon101.jpeg
京都府,湯豆腐,昆布やかつお節のだしで調理した温かい豆腐を、タレや薬味とともに味わう湯豆腐。シンプルでありながら大豆の豊かな旨味を堪能できる、京都らしい逸品です。,lib/images/icon102.jpeg
京都府,京都ラーメン,一言では定義が難しいほど、京都ラーメンは多様性に富んでいます。スープも、鶏ガラや豚骨を使った醤油ベースの店から、背脂入りの濃厚なタイプ、透き通った清湯系など様々あります。,lib/images/icon103.jpeg
京都府,抹茶スイーツ,京都は宇治抹茶が有名なため、抹茶を使ったスイーツの名店も多数あります。香り高い抹茶の豊かな味わいはもちろん、趣向を凝らした美しい見た目のスイーツが大人気です。,lib/images/icon104.jpeg
大阪府,たこ焼き,今や全国で食べられているたこ焼きですが、やはり本場大阪の味にはレベルの高さが感じられます。タレやトッピングのバリエーションなど、お店ごとの工夫も様々です。,lib/images/icon105.jpeg
大阪府,串カツ,新世界エリアで親しまれる名物メニュー。串に刺した牛肉や魚介、野菜、うずらの卵などの具材に衣を付けて油でカラッと揚げ、ソースに浸して味わいます。,lib/images/icon106.jpeg
大阪府,お好み焼き,その昔、子どものおやつとして親しまれた小麦粉生地の「どんどん焼き」や「一銭洋食」がルーツと言われています。具材の種類が豊富で、組み合わせが自在なのも魅力です。,lib/images/icon107.jpeg
大阪府,てっちり,大阪弁で「てっちり」と呼ばれるふぐ鍋は、お野菜もたっぷりと入った栄養満点のメニュー。鍋の〆にはご飯を入れて、ダシがしみ込んだ雑炊をいただくのも大変おいしいです。,lib/images/icon108.jpeg
兵庫県,明石焼き,小麦粉、じん粉、卵とだし汁を加え混ぜた生地にタコを入れ焼いたグルメ。見た目はタコ焼きに酷似していますが、ふわふわ食感でつけ汁に浸して食べるのが特徴です。,lib/images/icon109.jpeg
兵庫県,神戸牛,兵庫県産の黒毛和種「但馬牛」の中でも一定の品質を満たす、選りすぐりのブランド牛。手軽に食べるなら神戸牛のカツサンドがおすすめです。,lib/images/icon110.jpeg
兵庫県,姫路おでん,姫路市のご当地グルメ「姫路おでん」。おでんは一般的には辛子を添えて食べますが、姫路おでんは生姜醤油をかけて、あるいは、つけて食べるのが特徴です。,lib/images/icon111.jpeg
兵庫県,そばめし,神戸市長田区が発祥のそばめし。中華麺、ご飯、煮込んだ牛すじを熱々の鉄板で一緒に炒めソースで味付けした、神戸を代表する人気のB級グルメです。,lib/images/icon112.jpeg
奈良県,三輪そうめん,そうめん発祥の地とも言われる三輪地方の特産品。一般的なそうめんよりも極細でもっちりとした食感があり、釜揚げやにゅうめんなど、さまざまなメニューで堪能できるお店が数多くあります。,lib/images/icon113.jpeg
奈良県,柿の葉寿司,柿の葉寿司は、鮭やサバの切り身を載せた酢飯を柿の葉に包んだ押し寿司で、奈良を代表する郷土料理として知られます。駅弁や行楽のお供としてテイクアウトできるのもポイントです。,lib/images/icon114.jpeg
奈良県,天理ラーメン,辛味噌仕立てのスープに、炒めた白菜やニラ、豚肉などがたっぷりのった天理エリアのご当地ラーメン。細めの縮れ麺とコクのあるスープ、野菜のシャキシャキ感が絶妙に調和した一品です。,lib/images/icon115.jpeg
奈良県,飛鳥鍋,鶏ガラスープに牛乳を加え、まろやかさとコクを加えてクリーミーに仕上げられたお鍋。ほっこりするような味わいが人気の奈良の郷土料理です,lib/images/icon116.jpeg
和歌山県,和歌山ラーメン,和歌山県北部のラーメン屋さんや大衆食堂で提供されるご当地ラーメンで、スープは大きく分けて醤油系と豚骨醤油系の2種類。麺はちぢれの無いストレートで、黄色味がかっているのが特長です。,lib/images/icon117.jpeg
和歌山県,めはり寿司,大きく丸く握ったご飯を、塩漬けの高菜でくるんだ熊野地方の郷土料理です。もともとはソフトボールぐらいの大きさで、目を見開いて食べることから「めはり」と名付けられた料理です。,lib/images/icon118.jpeg
和歌山県,生まぐろ,勝浦漁港は、延縄漁法での生まぐろの水揚げ量が日本一。鮮度抜群のまぐろは、臭みが全くなく脂のとろけるような旨みが味わえます。,lib/images/icon119.jpeg
和歌山県,クエ鍋,幻の魚と呼ばれることもあるクエは、天然物が少ないことで知られています。和歌山の白浜は、クエを養殖している場所として有名。身に脂がたっぷりとのり、上品でいて深い旨味が魅力です。,lib/images/icon120.jpeg
